sensitivity_flagged,gender,age,education,employment,employment_other,hispanic,ethnicity,ethnicity_other,state,political_views,political_affiliation,harassment_sexual,harassment_other
1,2,50,4,1,,2,1,,10,2,1,2,2
1,1,27,4,1,,2,2,,7,3,3,2,2
1,1,22,4,2,,2,3,,1,4,2,4,1
1,1,29,2,1,,2,1,,48,5,2,2,2
1,1,29,4,2,,2,1,,33,5,2,2,2
1,2,36,3,1,,2,1,,18,5,2,2,2
1,2,35,4,1,,2,1,,17,4,2,2,2
1,2,26,4,1,,2,1,,50,5,2,2,2
1,2,26,3,1,,2,1,,34,4,3,2,1
1,2,34,4,1,,2,1,,5,4,2,2,2
1,2,55,3,1,,2,1,,34,2,1,2,2
1,2,59,3,1,,2,1,,44,3,1,2,2
1,2,21,2,1,,2,1,,6,3,3,2,2
1,1,35,4,1,,2,1,,49,5,2,2,2
1,2,36,3,1,,2,1,,22,5,2,2,2
1,1,29,2,1,,2,1,,44,4,3,2,2
1,2,30,4,1,,2,1,,11,2,1,2,2
1,1,28,4,1,,2,3,,11,4,2,2,2
1,2,25,4,9,,2,3,,33,4,3,2,2
1,2,18,2,1,,2,1,,5,5,2,1,3
1,2,63,3,5,,2,1,,26,3,3,2,2
1,2,23,3,1,,2,1,,18,5,2,2,2
1,1,26,4,1,,2,1,,48,3,1,2,2
1,1,32,4,1,,2,1,,22,5,3,2,2
1,1,25,3,1,,2,1,,48,3,3,2,2
1,2,21,4,2,,2,2,,45,4,2,2,2
1,1,63,4,1,,2,1,,50,4,2,2,2
1,2,24,6,7,,2,1,,34,4,2,2,2
1,1,69,4,5,,2,1,,24,1,1,2,2
1,2,28,6,2,,2,1,,22,4,2,2,2
1,1,40,4,1,,2,1,,17,4,2,2,2
1,2,47,4,1,,2,1,,10,3,1,2,2
1,1,31,4,1,,2,1,,22,4,2,2,2
1,1,39,4,1,,2,1,,33,3,3,2,2
1,1,63,3,5,,2,1,,51,4,2,2,2
1,1,34,2,1,,2,1,,45,1,3,2,2
1,1,34,2,2,,2,1,,10,4,2,2,2
1,2,35,5,2,,2,1,,45,3,3,2,2
1,2,29,3,1,,2,2,,48,3,3,2,2
1,2,33,6,1,,2,2,,11,2,3,2,2
1,2,40,3,6,,2,2,,36,4,2,2,1
1,1,25,4,1,,2,1,,39,4,2,2,2
1,1,30,4,1,,2,3,,26,4,2,2,2
1,2,47,3,1,,2,1,,1,3,3,2,2
1,1,41,2,4,,2,1,,14,3,3,2,2
1,1,29,4,1,,2,3,,21,4,2,2,2
1,1,24,3,1,,2,1,,42,2,1,2,2
1,2,18,3,8,Working part time and taking summer classes,2,3,,22,4,2,2,2
1,1,30,4,4,,2,1,,51,2,3,2,2
1,1,29,3,4,,2,1,,31,4,3,2,2
1,2,44,3,1,,2,1,,15,3,3,2,2
1,2,26,3,1,,1,1,,5,3,2,2,2
1,1,27,3,6,,1,1,,23,4,2,5,5
1,1,24,4,2,,1,5,mixed-black/white,23,4,2,5,2
1,1,30,3,1,,2,1,,5,4,2,2,2
1,2,32,3,1,,2,1,,35,4,2,2,2
1,1,36,3,1,,2,1,,36,3,3,2,2
1,1,58,3,1,,2,1,,36,3,3,2,2
1,2,28,3,4,,1,5,Hispanic,5,6,5,5,5
1,2,28,4,1,,2,1,,21,4,4,2,2
1,2,63,2,1,,2,1,,36,3,2,2,3
1,1,65,4,5,,2,1,,3,2,1,2,2
1,2,36,3,1,,2,1,,51,5,2,2,2
1,1,35,6,1,,2,1,,37,3,2,2,2
1,2,29,4,1,,2,1,,19,1,1,2,2
1,2,34,3,1,,2,1,,44,3,3,2,2
1,1,31,3,1,,2,1,,34,2,1,2,2
1,2,34,4,7,,2,1,,10,2,1,2,2
1,2,58,5,1,,2,1,,5,2,3,2,2
1,2,52,3,1,,2,1,,49,5,2,2,2
1,1,31,3,1,,2,1,,10,4,2,2,2
1,1,35,4,1,,2,1,,39,4,2,2,2
1,2,23,4,9,,2,3,,33,3,3,2,2
1,2,62,3,1,,2,1,,10,3,2,2,2
1,2,55,3,1,,2,1,,50,1,1,2,2
1,1,40,2,1,,2,1,,39,4,2,2,2
1,1,35,6,1,,2,1,,45,1,1,2,2
1,1,48,6,2,,2,2,,45,3,1,2,2
1,1,36,3,1,,1,1,,10,2,1,2,1
1,1,31,6,1,,2,1,,31,5,2,2,2
1,1,35,3,1,,2,1,,24,3,3,2,2
1,1,25,4,1,,2,3,,23,3,3,2,2
1,2,44,3,2,,2,1,,34,5,3,2,2
1,1,35,6,1,,2,1,,33,4,2,2,2
1,1,25,5,1,,2,1,,25,5,2,2,2
1,2,29,2,2,,2,1,,10,3,1,1,2
1,1,32,4,1,,2,1,,22,4,3,2,2
1,1,25,3,1,,2,1,,15,4,2,2,2
1,1,25,3,1,,2,1,,23,3,3,2,1
1,1,47,3,4,,2,1,,6,4,2,5,5
1,2,38,4,2,,2,4,,47,3,2,2,2
1,1,44,3,1,,2,1,,48,1,1,2,2
1,1,33,2,1,,2,1,,34,4,2,2,2
1,2,36,4,1,,2,1,,44,3,3,2,2
1,2,28,4,7,,2,1,,45,3,3,5,5
1,2,34,4,1,,2,2,,48,3,2,2,2
1,2,30,4,4,,2,1,,10,5,2,4,2
1,1,20,2,1,,2,1,,11,5,2,2,2
1,1,22,2,6,,2,3,,33,3,3,2,2
1,1,30,4,1,,2,2,,2,1,2,2,2
1,1,30,4,1,,2,1,,11,2,1,2,2
1,1,24,4,1,,2,2,,51,3,3,2,2
1,1,27,3,1,,2,2,,11,3,3,2,2
1,2,54,4,4,,2,1,,29,3,3,2,2
1,1,65,4,5,,2,1,,24,4,2,2,2
1,1,48,3,1,,2,1,,39,5,2,2,2
1,2,70,4,5,,1,1,,10,6,3,5,5
1,2,61,3,2,,2,1,,5,4,3,2,2
1,2,73,3,8,retired/self-employed,2,1,,5,4,2,5,5
1,1,31,2,1,,2,1,,33,5,2,2,2
1,2,23,3,1,,2,1,,1,1,1,2,2
1,1,29,4,3,,2,1,,30,3,3,2,2
1,1,32,4,1,,2,1,,23,2,1,2,2
1,1,28,4,1,,2,1,,22,2,1,2,2
1,1,27,6,2,,1,1,,7,3,3,3,3
1,2,44,4,1,,2,1,,45,2,1,2,2
1,2,41,4,1,,2,1,,23,4,2,2,2
1,1,25,2,1,,2,1,,42,3,3,2,2
1,2,29,4,1,,1,1,,5,4,1,1,1
1,1,35,3,1,,2,1,,36,1,1,2,2
1,1,30,4,1,,2,1,,10,2,3,2,2
1,1,30,4,1,,2,1,,23,1,1,2,2
1,2,28,3,4,,2,2,,21,5,2,5,5
1,1,28,5,2,,1,1,,49,4,3,1,2
1,2,24,4,1,,2,1,,23,5,2,1,2
1,1,31,5,1,,2,1,,10,3,3,3,3
1,1,31,5,1,,2,1,,10,3,3,3,3
1,2,45,2,8,self employed,2,1,,5,2,1,2,2
1,1,29,4,1,,2,4,,45,2,2,1,2
1,1,28,4,1,,2,1,,49,2,1,3,1
1,1,34,6,1,,2,1,,45,5,2,2,2
1,2,26,,2,,2,2,,5,4,2,2,2
1,2,37,4,1,,2,1,,27,5,4,3,2
1,2,42,4,1,,2,1,,36,3,5,2,2
1,1,31,4,1,,2,1,,45,2,2,2,2
1,1,31,4,1,,2,1,,6,3,3,2,2
1,2,49,3,7,,2,1,,45,2,1,5,5
1,1,45,3,1,,2,1,,38,4,4,2,2
1,2,30,4,2,,2,1,,5,5,4,1,2
1,1,30,4,1,,2,2,,33,4,2,2,2
1,2,24,3,1,,2,1,,10,3,3,2,2
1,2,41,4,9,,2,2,,36,4,2,2,2
1,1,36,4,1,,2,1,,5,3,3,1,1
1,2,38,4,1,,2,1,,19,4,3,2,2
1,1,22,4,1,,2,2,,21,4,2,2,2
1,1,21,3,1,,2,1,,5,4,2,2,2
1,2,30,4,2,,2,1,,11,3,3,2,2
1,1,30,4,1,,2,1,,39,3,2,2,2
1,1,22,2,8,Self-Employed,2,1,,51,3,3,2,2
1,1,34,2,1,,2,1,,23,6,5,2,2
0,1,28,6,1,,2,3,,39,3,3,2,3
0,2,24,4,1,,2,3,,21,5,2,2,2
0,1,63,3,2,,2,1,,25,2,3,2,2
0,1,44,3,1,,2,1,,10,2,1,2,2
0,2,33,6,2,,2,1,,31,2,1,2,2
0,2,28,3,1,,2,1,,31,3,3,2,2
0,2,52,3,1,,2,1,,45,2,1,2,2
0,1,32,3,8,Self-employed,2,1,,10,5,2,2,2
0,2,27,4,1,,2,1,,33,3,3,2,2
0,2,35,3,2,,2,1,,31,2,1,2,2
0,2,51,6,1,,2,4,,14,2,1,2,2
0,1,84,6,1,,2,1,,45,3,2,4,4
0,2,48,4,4,,2,1,,14,2,1,2,2
0,1,26,3,1,,1,3,,5,4,2,2,2
0,2,42,4,1,,2,3,,22,3,3,2,2
0,1,19,3,4,,2,1,,3,2,3,2,2
0,2,34,4,1,,2,4,,45,2,1,2,2
0,1,22,4,2,,2,1,,36,2,1,2,2
0,1,37,4,1,,2,3,,10,3,3,3,2
0,1,38,4,2,,2,3,,34,4,2,2,2
0,2,34,4,7,,2,1,,18,5,2,5,5
0,1,23,4,1,,1,1,,16,5,2,2,2
0,1,27,4,1,,2,3,,45,4,2,2,2
0,2,27,4,1,,2,1,,33,5,2,1,2
0,2,29,4,1,,2,1,,5,1,1,2,2
0,2,59,6,7,,2,1,,39,4,2,5,5
0,2,51,3,1,,1,1,,24,4,2,2,2
0,2,53,4,7,,2,2,,45,2,1,2,2
0,2,35,6,7,,2,1,,4,1,1,2,2
0,2,48,6,1,,2,3,,14,3,3,2,2
0,1,33,4,1,,2,1,,26,4,3,2,2
0,2,24,4,1,,2,1,,48,5,3,2,2
0,2,27,3,1,,2,1,,10,3,3,2,2
0,1,31,6,1,,2,1,,10,3,1,2,2
0,2,44,3,1,,2,1,,1,3,3,2,2
0,2,45,4,1,,2,1,,14,3,3,2,2
0,2,29,4,2,,2,1,,15,5,2,2,2
0,1,28,4,1,,2,1,,37,2,1,2,2
0,1,34,3,1,,2,1,,3,4,3,2,2
0,2,29,5,1,,1,1,,10,2,2,1,1
0,1,29,4,2,,2,1,,33,5,2,2,2
0,1,37,3,1,,2,1,,45,3,2,2,2
0,1,44,6,1,,1,1,,45,2,2,2,2
0,2,30,4,1,,2,1,,11,3,3,2,2
0,2,23,3,8,homemaker,2,1,,18,1,1,2,2
0,2,27,6,1,,2,1,,48,3,1,2,2
0,2,68,3,4,,2,1,,10,4,2,2,2
0,2,27,4,1,,1,1,,45,3,1,1,1
0,2,47,3,1,,2,1,,42,2,1,2,2
0,1,59,2,1,,2,1,,31,2,1,2,2
0,1,20,3,6,,2,1,,25,1,1,2,2
0,1,33,4,1,,2,1,,5,1,2,2,2
0,1,34,6,1,,2,1,,18,5,2,2,2
0,1,64,3,1,,2,4,,48,4,3,2,2
0,2,32,3,2,,2,2,,23,2,2,2,2
0,1,38,2,1,,2,1,,24,5,2,2,2
0,2,25,3,1,,2,1,,5,3,3,2,2
0,1,31,3,1,,2,1,,49,5,2,2,2
0,1,23,3,1,,2,1,,51,4,2,2,2
0,1,55,2,1,,2,1,,49,3,1,2,2
0,2,36,4,1,,2,1,,39,4,2,2,2
0,1,40,3,1,,2,1,,39,4,2,2,2
0,1,24,4,1,,2,1,,5,2,1,2,2
0,2,43,4,1,,2,3,,45,2,3,2,2
0,2,26,4,1,,2,1,,13,3,3,2,2
0,2,41,3,1,,2,1,,15,5,2,2,2
0,2,45,3,2,,1,1,,10,3,2,5,5
0,1,34,4,1,,2,5,asian/white/pacific islander,5,5,3,2,2
0,2,46,4,2,,2,1,,28,5,3,2,2
0,1,35,4,1,,2,1,,24,3,3,2,2
0,2,43,4,7,,2,1,,5,3,3,5,5
0,2,45,3,2,,2,1,,10,3,3,2,2
0,2,19,3,2,,2,2,,15,5,2,2,2
0,2,35,6,1,,2,1,,21,4,2,2,2
0,2,23,3,1,,1,1,,42,4,2,1,2
0,2,27,4,7,,2,1,,24,2,1,5,5
0,2,54,3,1,,2,1,,26,3,2,2,2
0,2,57,3,1,,2,1,,11,4,2,2,2
0,1,31,4,1,,2,1,,45,2,1,2,2
0,2,20,2,7,,1,1,,36,3,3,5,5
0,2,23,3,1,,2,1,,1,3,3,2,2
0,1,24,3,1,,2,4,,39,3,4,2,2
0,2,25,3,1,,2,1,,36,4,2,4,2
0,1,28,4,1,,2,1,,5,5,1,,
0,2,63,6,5,,2,1,,45,3,1,2,2
0,2,36,4,7,,2,1,,39,2,3,1,2
0,1,29,3,2,,2,1,,23,3,3,2,2
0,1,32,6,1,,2,1,,5,2,1,2,2
0,2,43,6,1,,2,1,,26,3,1,2,2
0,1,73,4,5,,2,1,,49,4,2,5,5
0,1,26,2,1,,2,4,,5,2,1,2,4
0,1,62,3,1,,2,1,,13,2,1,2,2
0,1,33,2,1,,2,1,,10,3,2,2,2
0,1,36,2,2,,2,1,,10,3,2,1,2
0,1,19,3,2,,2,2,,45,3,2,2,2
0,1,33,6,9,,2,1,,45,1,2,2,2
0,1,40,4,1,,2,1,,48,3,2,2,3
0,1,27,4,1,,2,3,,45,4,3,1,1
0,2,51,6,1,,2,1,,36,3,3,2,2
0,2,39,6,1,,2,1,,42,1,1,2,2
0,2,22,3,1,,1,5,,38,5,2,2,2
0,1,28,5,1,,2,1,,5,3,3,2,2
0,2,29,2,1,,1,1,,51,2,2,1,1
0,2,59,3,1,,2,1,,4,3,3,2,2
0,1,29,4,1,,2,3,,5,5,2,2,2
0,1,71,4,1,,2,1,,45,2,1,4,4
0,1,40,5,1,,2,1,,45,4,2,2,2
0,1,24,4,1,,2,1,,45,3,3,2,2
0,1,35,6,1,,2,1,,39,3,1,2,2
0,2,36,4,1,,2,1,,42,5,3,2,2
0,1,25,3,2,,2,1,,49,5,2,2,2
0,2,30,3,2,,2,1,,39,4,2,2,2
0,1,33,4,1,,2,2,,10,1,1,2,2
0,1,31,2,1,,2,1,,10,5,3,2,2
0,1,28,3,1,,2,1,,34,4,3,2,2
0,1,24,4,2,,1,1,,46,6,4,1,1
0,1,31,6,1,,2,1,,7,4,2,2,2
0,1,35,4,1,,2,1,,5,2,2,2,2
0,1,31,6,1,,2,3,,5,3,3,2,2
0,1,28,3,1,,2,1,,39,5,4,2,2
0,1,33,4,4,,2,1,,36,5,3,2,2
0,1,29,4,1,,1,2,,33,2,1,1,
0,2,37,2,1,,2,1,,33,4,3,2,2
0,2,42,6,2,,2,1,,50,2,2,2,2
0,1,37,4,1,,2,2,,44,4,2,2,2
0,2,23,3,1,,2,3,,12,3,3,2,2
0,1,46,4,1,,1,1,,31,3,1,2,3
0,1,29,2,2,,2,2,,18,4,2,2,2
0,1,34,4,1,,2,1,,33,2,1,2,2
0,1,26,4,1,,1,1,,1,3,2,2,2
0,1,27,2,1,,2,5,Mixed Race (White & Black),10,4,3,2,2
0,1,39,3,2,,2,1,,45,3,3,2,2
0,1,65,4,1,,2,1,,5,5,2,2,2
0,2,40,3,2,,2,1,,39,3,2,2,2
0,1,58,4,8,self-employed,2,2,,3,6,4,2,2
0,1,22,4,1,,2,2,,39,4,3,2,2
0,1,28,3,1,,2,1,,33,4,2,2,2
0,2,35,3,1,,2,1,,5,5,2,2,2
0,1,36,4,1,,2,1,,39,4,2,2,2
0,1,41,2,1,,2,1,,33,5,2,2,2
0,1,29,4,1,,2,1,,10,2,1,2,2
0,1,52,4,1,,2,1,,33,5,2,2,2
0,1,28,4,1,,2,1,,1,2,1,2,2
0,2,44,3,1,,2,1,,34,2,1,2,2
0,1,28,4,2,,2,4,,49,4,2,1,1
0,1,34,5,1,,2,1,,10,2,1,2,2
0,1,25,3,8,Self-employed,2,1,,28,4,2,5,5
0,1,49,3,8,disabled,2,1,,33,4,3,2,2
0,1,36,3,1,,2,1,,23,5,2,2,2
0,2,28,3,1,,2,1,,5,5,2,2,2
