IT,AC
IT,CUP_Istanbul
IT,FM
IT,CUP_ulema
IT,CUP_activists
IT,MM
IT,Bashkim
IT,IMRO
AC,CUP_Istanbul
AC,FM
AC,CUP_ulema
AC,CUP_activists
TSC,MM
TSC,AR
TSC,CUP_Istanbul
CUP_Istanbul,FM
CUP_Istanbul,CUP_ulema
CUP_Istanbul,CUP_activists
CUP_Istanbul,MM
CUP_Istanbul,AR
CUP_Istanbul,ARF
CUP_Istanbul,SDHP
CUP_Istanbul,TH
CUP_Istanbul,ulema
FM,CUP_activists
CUP_ulema,MM
CUP_ulema,AR
CUP_ulema,ulema
CUP_activists,MM
CUP_activists,PCT
CUP_activists,TH
MM,TH
MM,AR
AR,PCT
AR,ARF
AR,SDHP
PCT,ulema
PCT,ARF
PCT,SDHP
PCT,AC
PCT,IT
PCT,CUP_Istanbul